13:54:13 | SIM | light1_on | Light 1 ON | Lights: [1, 0, 0]
13:54:15 | SIM | light1_off | Light 1 OFF | Lights: [0, 0, 0]
13:54:29 | SIM | light1_on | Light 1 ON | Lights: [1, 0, 0]
13:54:30 | SIM | light1_off | Light 1 OFF | Lights: [0, 0, 0]
13:54:32 | SIM | light1_on | Light 1 ON | Lights: [1, 0, 0]
13:54:35 | SIM | turn_on | ALL ON | Lights: [1, 1, 1]
13:54:37 | SIM | light2_off | Light 2 OFF | Lights: [1, 0, 1]
13:54:47 | SIM | light1_off | Light 1 OFF | Lights: [0, 0, 1]
13:54:51 | SIM | light1_on | Light 1 ON | Lights: [1, 0, 1]
13:54:52 | SIM | turn_off | ALL OFF | Lights: [0, 0, 0]
15:07:36 | SIM | turn_on | ALL ON | Lights: [1, 1, 1]
15:08:35 | SIM | light1_on | Light 1 ON | Lights: [1, 0, 0]
15:08:36 | SIM | turn_off | ALL OFF | Lights: [0, 0, 0]
15:08:47 | SIM | light1_on | Light 1 ON | Lights: [1, 0, 0]
15:08:49 | SIM | light1_off | Light 1 OFF | Lights: [0, 0, 0]
15:15:36 | SIM | turn_on | ALL ON | Lights: [1, 1, 1]
15:15:38 | SIM | turn_off | ALL OFF | Lights: [0, 0, 0]
15:15:39 | SIM | turn_on | ALL ON | Lights: [1, 1, 1]
15:15:41 | SIM | turn_off | ALL OFF | Lights: [0, 0, 0]
15:15:44 | SIM | light2_on | Light 2 ON | Lights: [0, 1, 0]
15:15:49 | SIM | light2_off | Light 2 OFF | Lights: [0, 0, 0]
15:15:53 | SIM | turn_on | ALL ON | Lights: [1, 1, 1]
01:36:00 | SIM | turn_on | ALL ON | Lights: [1, 1, 1]
01:36:15 | SIM | turn_off | ALL OFF | Lights: [0, 0, 0]
01:36:16 | SIM | turn_on | ALL ON | Lights: [1, 1, 1]
01:58:43 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
01:58:44 | HW | light1_off | Light 1 OFF | Lights: [0, 0, 0]
01:58:45 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
01:58:47 | HW | turn_on | ALL ON | Lights: [1, 1, 1]
01:58:48 | HW | light2_off | Light 2 OFF | Lights: [1, 0, 1]
01:59:26 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
01:59:28 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
01:59:30 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
10:59:03 | SIM | light1_on | Light 1 ON | Lights: [1, 0, 0]
10:59:05 | SIM | light1_off | Light 1 OFF | Lights: [0, 0, 0]
10:59:13 | SIM | turn_on | ALL ON | Lights: [1, 1, 1]
10:59:18 | SIM | turn_off | ALL OFF | Lights: [0, 0, 0]
10:59:22 | SIM | light1_on | Light 1 ON | Lights: [1, 0, 0]
10:59:24 | SIM | light1_off | Light 1 OFF | Lights: [0, 0, 0]
10:59:27 | SIM | turn_on | ALL ON | Lights: [1, 1, 1]
10:59:31 | SIM | turn_off | ALL OFF | Lights: [0, 0, 0]
10:59:58 | SIM | turn_on | ALL ON | Lights: [1, 1, 1]
10:59:59 | SIM | light1_off | Light 1 OFF | Lights: [0, 1, 1]
11:00:00 | SIM | light2_off | Light 2 OFF | Lights: [0, 0, 1]
11:00:07 | SIM | turn_off | ALL OFF | Lights: [0, 0, 0]
11:00:09 | SIM | light1_on | Light 1 ON | Lights: [1, 0, 0]
11:00:10 | SIM | light1_off | Light 1 OFF | Lights: [0, 0, 0]
11:00:20 | SIM | turn_on | ALL ON | Lights: [1, 1, 1]
11:00:21 | SIM | turn_off | ALL OFF | Lights: [0, 0, 0]
11:09:25 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
11:09:30 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
11:09:31 | HW | turn_on | ALL ON | Lights: [1, 1, 1]
11:09:33 | HW | light2_off | Light 2 OFF | Lights: [1, 0, 1]
11:10:27 | SIM | light1_on | Light 1 ON | Lights: [1, 0, 0]
11:10:29 | SIM | light1_off | Light 1 OFF | Lights: [0, 0, 0]
11:10:51 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
11:10:53 | HW | light1_off | Light 1 OFF | Lights: [0, 0, 0]
11:10:56 | HW | turn_on | ALL ON | Lights: [1, 1, 1]
11:10:56 | HW | light2_off | Light 2 OFF | Lights: [1, 0, 1]
11:11:02 | HW | turn_on | ALL ON | Lights: [1, 1, 1]
11:13:29 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
11:13:30 | HW | light1_off | Light 1 OFF | Lights: [0, 0, 0]
11:13:34 | HW | turn_on | ALL ON | Lights: [1, 1, 1]
11:13:38 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
12:07:50 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
12:07:51 | HW | light1_off | Light 1 OFF | Lights: [0, 0, 0]
12:07:54 | HW | turn_on | ALL ON | Lights: [1, 1, 1]
12:12:48 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
12:12:49 | HW | light1_off | Light 1 OFF | Lights: [0, 0, 0]
12:12:50 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
12:12:52 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
12:12:55 | HW | turn_on | ALL ON | Lights: [1, 1, 1]
12:12:58 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
12:14:43 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
12:14:45 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
12:14:47 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
12:14:48 | HW | light1_off | Light 1 OFF | Lights: [0, 0, 0]
12:14:51 | HW | turn_on | ALL ON | Lights: [1, 1, 1]
12:14:53 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
17:01:59 | SIM | light1_on | Light 1 ON | Lights: [1, 0, 0]
17:02:03 | SIM | light1_off | Light 1 OFF | Lights: [0, 0, 0]
17:02:06 | SIM | light2_on | Light 2 ON | Lights: [0, 1, 0]
17:02:12 | SIM | turn_on | ALL ON | Lights: [1, 1, 1]
17:02:18 | SIM | turn_off | ALL OFF | Lights: [0, 0, 0]
17:02:20 | SIM | light1_on | Light 1 ON | Lights: [1, 0, 0]
17:02:21 | SIM | light1_off | Light 1 OFF | Lights: [0, 0, 0]
17:02:50 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
17:02:53 | HW | turn_on | ALL ON | Lights: [1, 1, 1]
17:02:55 | HW | light1_off | Light 1 OFF | Lights: [0, 1, 1]
17:03:02 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
17:03:03 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
17:03:04 | HW | light1_off | Light 1 OFF | Lights: [0, 0, 0]
17:03:06 | HW | light2_on | Light 2 ON | Lights: [0, 1, 0]
17:03:09 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
17:03:12 | HW | turn_on | ALL ON | Lights: [1, 1, 1]
17:03:19 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
17:03:21 | HW | turn_on | ALL ON | Lights: [1, 1, 1]
17:03:23 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
17:03:27 | HW | turn_on | ALL ON | Lights: [1, 1, 1]
17:03:34 | HW | light1_off | Light 1 OFF | Lights: [0, 1, 1]
17:03:37 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
17:11:07 | SIM | light1_on | Light 1 ON | Lights: [1, 0, 0]
17:11:08 | SIM | light1_off | Light 1 OFF | Lights: [0, 0, 0]
17:21:59 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
17:22:02 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
17:22:04 | HW | light1_on | Light 1 ON | Lights: [1, 0, 0]
17:22:05 | HW | light1_off | Light 1 OFF | Lights: [0, 0, 0]
17:22:07 | HW | light2_on | Light 2 ON | Lights: [0, 1, 0]
17:22:09 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
17:22:11 | HW | turn_on | ALL ON | Lights: [1, 1, 1]
17:22:13 | HW | turn_off | ALL OFF | Lights: [0, 0, 0]
